date,rep,,record_num,kohms,mV,temp_C
7/9/2021 15:01,2,,323,-2.396,342.9,22.6
7/9/2021 15:01,2,,324,-2.386,342.4,22.6
7/9/2021 15:02,2,,325,-2.372,340.7,22.59
7/9/2021 15:02,2,,326,-2.349,339.3,22.59
7/9/2021 15:02,2,,327,-2.343,338.3,22.59
7/9/2021 15:02,2,,328,-2.317,337.6,22.6
7/9/2021 15:02,2,,329,-2.314,336.7,22.59
7/9/2021 15:02,2,,330,-2.28,335.4,22.59
7/9/2021 15:02,2,,331,-2.263,334,22.59
7/9/2021 15:02,2,,332,-2.26,333.7,22.6
7/9/2021 15:02,2,,333,-2.231,332.8,22.6
7/9/2021 15:02,2,,334,-2.199,331.6,22.6
7/9/2021 15:02,2,,335,-2.189,331.3,22.59
7/9/2021 15:02,2,,336,-2.157,330.5,22.59
7/9/2021 15:03,2,,337,-2.136,329.9,22.59
7/9/2021 15:03,2,,338,-2.109,328.6,22.59
7/9/2021 15:03,2,,339,-2.093,328.5,22.59
7/9/2021 15:03,2,,340,-2.064,327.8,22.59
7/9/2021 15:03,2,,341,-2.054,327.2,22.59
7/9/2021 15:03,2,,342,-2.043,326.3,22.59
7/9/2021 15:03,2,,343,-2.027,326,22.59
7/9/2021 15:03,2,,344,-2.009,325.6,22.59
7/9/2021 15:03,2,,345,-1.993,325.5,22.59
7/9/2021 15:03,2,,346,-1.972,324.4,22.59
7/9/2021 15:03,2,,347,-1.959,324,22.59
7/9/2021 15:03,2,,348,-1.951,323.6,22.59
7/9/2021 15:04,2,,349,-1.874,323.5,22.59
,,,,,,
date,rep,,,,,
7/9/2021 15:06,3,,373,-2.24,415.2,22.59
7/9/2021 15:06,3,,374,-2.235,400.2,22.59
7/9/2021 15:06,3,,375,-2.227,396.8,22.59
7/9/2021 15:06,3,,376,-2.201,393.3,22.59
7/9/2021 15:06,3,,377,-2.175,390.2,22.59
7/9/2021 15:06,3,,378,-2.161,387.7,22.59
7/9/2021 15:06,3,,379,-2.167,385,22.59
7/9/2021 15:06,3,,380,-2.177,382.8,22.58
7/9/2021 15:06,3,,381,-2.193,380.1,22.58
7/9/2021 15:06,3,,382,-2.222,378.1,22.59
7/9/2021 15:06,3,,383,-2.241,375.6,22.56
7/9/2021 15:06,3,,384,-2.256,373.8,22.56
7/9/2021 15:07,3,,385,-2.283,371.3,22.58
7/9/2021 15:07,3,,386,-2.299,369.7,22.56
7/9/2021 15:07,3,,387,-2.299,368.2,22.56
7/9/2021 15:07,3,,388,-2.311,365.2,22.56
7/9/2021 15:07,3,,389,-2.309,363.2,22.56
7/9/2021 15:07,3,,390,-2.311,361.5,22.56
7/9/2021 15:07,3,,391,-2.306,359.9,22.56
7/9/2021 15:07,3,,392,-2.306,359,22.56
7/9/2021 15:07,3,,393,-2.274,357,22.56
7/9/2021 15:07,3,,394,-2.272,355.2,22.56
7/9/2021 15:07,3,,395,-2.269,353.8,22.56
7/9/2021 15:07,3,,396,-2.266,351.9,22.56
7/9/2021 15:08,3,,397,-2.245,351,22.56
7/9/2021 15:08,3,,398,-2.248,350.2,22.56
7/9/2021 15:08,3,,399,-2.235,348.5,22.56
7/9/2021 15:08,3,,400,-2.206,347.3,22.56
7/9/2021 15:08,3,,401,-2.208,345.8,22.56
7/9/2021 15:08,3,,402,-2.201,344.9,22.56
7/9/2021 15:08,3,,403,-2.207,344.1,22.56
7/9/2021 15:08,3,,404,-2.207,343.4,22.56
7/9/2021 15:08,3,,405,-2.202,342,22.56
7/9/2021 15:08,3,,406,-2.188,340.6,22.56
7/9/2021 15:08,3,,407,-2.172,340.5,22.56
7/9/2021 15:08,3,,408,-2.167,340.5,22.56
7/9/2021 15:09,3,,409,-2.172,339.5,22.56
7/9/2021 15:09,3,,410,-2.159,338.1,22.56
7/9/2021 15:09,3,,411,-2.165,338,22.56
7/9/2021 15:09,3,,412,-2.141,337.5,22.56
7/9/2021 15:09,3,,413,-2.122,337.3,22.56
7/9/2021 15:09,3,,414,-2.122,336.9,22.56
7/9/2021 15:09,3,,415,-2.114,336.9,22.56
7/9/2021 15:09,3,,416,-2.096,1481,22.56
7/9/2021 15:09,3,,417,-2.095,1834,22.56
7/9/2021 15:09,3,,418,-2.089,1852,22.56
7/9/2021 15:09,3,,419,-2.079,1862,22.56
7/9/2021 15:09,3,,420,-2.079,1869,22.56
7/9/2021 15:10,3,,421,-2.06,1872,22.56
7/9/2021 15:10,3,,422,-2.074,1874,22.56
7/9/2021 15:10,3,,423,-2.058,1879,22.56
7/9/2021 15:10,3,,424,-2.058,1883,22.56
7/9/2021 15:10,3,,425,-2.042,1885,22.56
7/9/2021 15:10,3,,426,-2.039,1886,22.56
7/9/2021 15:10,3,,427,-2.029,1887,22.56
7/9/2021 15:10,3,,428,-2.023,1886,22.56
7/9/2021 15:10,3,,429,-2.002,1878,22.56
7/9/2021 15:10,3,,430,-1.999,1870,22.56
7/9/2021 15:10,3,,431,-2,1869,22.56
7/9/2021 15:10,3,,432,-1.987,1871,22.56
7/9/2021 15:11,3,,433,-1.979,1875,22.56
