,temp_C,direction,cycle,reading,best_fit,deviation,avg_up,avg_down,avg_updown
11,15.0,up,2,16.3,16.529272774160276,-0.22927277416027536,,,
12,20.0,up,2,21.0,21.178392753529756,-0.17839275352975648,,,
13,25.0,up,2,25.7,25.827512732899237,-0.1275127328992376,,,
14,30.0,up,2,30.4,30.476632712268714,-0.07663271226871515,,,
15,35.0,up,2,35.1,35.12575269163819,-0.025752691638189162,,,
16,40.0,up,2,39.8,39.77487267100767,0.02512732899232617,,,
17,35.0,down,2,35.1,35.12575269163819,-0.025752691638189162,,,
18,30.0,down,2,30.3,30.476632712268714,-0.17663271226871302,,,
19,25.0,down,2,25.6,25.827512732899237,-0.22751273289923546,,,
20,20.0,down,2,20.9,21.178392753529756,-0.2783927535297579,,,
21,15.0,down,2,16.3,16.529272774160276,-0.22927277416027536,,,
